Type,Price,Location,Baths,Area,Beds
Flat,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",3,5.5 Marla,2
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR1.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR28 Thousand,"Harbanspura Road, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR1 Lakh,"Bahria Town, Lahore, Punjab",4,10 Marla,3
House,PKR95 Thousand,"Wapda Town, Lahore, Punjab",5,10 Marla,5
Lower Portion,PKR85 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
House,PKR85 Thousand,"Wapda Town, Lahore, Punjab",4,10 Marla,4
House,PKR1 Lakh,"Wapda Town, Lahore, Punjab",5,10 Marla,5
House,PKR1.2 Lakh,"Wapda Town, Lahore, Punjab",5,10 Marla,5
Upper Portion,PKR60 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR65 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR50 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR50 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,3
Lower Portion,PKR60 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
Room,PKR5.5 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
House,PKR1.3 Lakh,"Johar Town, Lahore, Punjab",5,12 Marla,4
Upper Portion,PKR67 Thousand,"Wapda Town, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR1.55 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",5,2 Kanal,3
Room,PKR5.5 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
Upper Portion,PKR65 Thousand,"PIA Housing Scheme, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR55 Thousand,"Gosha-e-Ahbab, Lahore, Punjab",3,1 Kanal,3
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2
Upper Portion,PKR29 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Upper Portion,PKR38 Thousand,"Cavalry Ground, Lahore, Punjab",2,6 Marla,2
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Lower Portion,PKR2.5 Lakh,"Kalma Chowk, Lahore, Punjab",3,2 Kanal,3
Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR2.5 Lakh,"Kalma Chowk, Lahore, Punjab",3,2 Kanal,3
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
Upper Portion,PKR1.3 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
